time, reg flux, resp flux
0.022,5.5838e-12,5.49139e-11
0.023,6.7337e-12,2.83047e-10
0.024,2.21342e-11,2.13904e-10


time, reg flux, resp flux
0,1.39208e-14,9.24007e-10
0.001,4.2416e-12,4.53842e-10
0.002,1.13701e-11,4.97308e-10
0.003,1.20366e-10,3.63756e-10
0.004,1.48987e-10,4.66442e-10
0.005,2.30639e-11,4.47749e-10
0.006,5.23924e-10,6.87832e-10
0.007,1.51872e-11,5.99514e-10
0.008,8.96459e-13,3.08569e-10
0.009,1.03022e-10,2.93792e-10
0.01,1.18289e-10,4.2928e-10
0.011,2.91088e-18,3.03814e-10
0.012,2.18343e-11,2.66045e-10
0.013,4.02659e-12,5.22822e-10
0.014,1.76462e-11,4.37354e-10
0.015,1.52492e-10,3.17778e-10
0.016,1.47083e-10,5.84365e-10
0.017,2.47669e-11,3.22052e-10
0.018,1.30858e-13,1.67111e-10
0.019,1.10981e-10,8.03586e-11
0.02,2.27217e-12,2.58933e-10
0.021,2.4819e-11,1.29496e-10
0.022,1.25609e-10,2.90229e-10
0.023,1.0006e-11,9.37409e-11
0.024,7.51526e-12,2.18067e-10


time, reg flux, resp flux
0,6.59843e-15,6.50735e-10
0.001,8.59003e-12,4.96467e-10
0.002,3.13034e-11,1.74561e-10
0.003,1.43317e-11,4.97942e-10
0.004,3.17598e-11,5.65653e-10
0.005,1.79961e-11,3.03496e-10
0.006,1.983e-18,2.04388e-10
0.007,7.78445e-13,4.67821e-10
0.008,1.0449e-10,6.75433e-10
0.009,2.28876e-10,1.28704e-10
0.01,3.35896e-10,2.97379e-10
0.011,3.23456e-10,5.11978e-10
0.012,1.07729e-10,3.24736e-10
0.013,4.5792e-11,1.03034e-10
0.014,6.75693e-12,6.95568e-11
0.015,1.78631e-11,1.63313e-10
0.016,6.34752e-12,3.02583e-10
0.017,6.16598e-12,3.57287e-10
0.018,1.08856e-12,2.61368e-10
0.019,4.87235e-11,1.25892e-10
0.02,2.31638e-10,9.22723e-11
0.021,8.6548e-13,7.79046e-11
0.022,3.86837e-12,2.0895e-10
0.023,4.82806e-18,5.38984e-11
0.024,2.26371e-10,1.21258e-10


time, reg flux, resp flux
0,8.38843e-15,1.70851e-10
0.001,9.32366e-13,9.03423e-11
0.002,1.41561e-11,4.66772e-10
0.003,2.34074e-11,5.12492e-10
0.004,2.61195e-10,3.16344e-10
0.005,1.13471e-10,2.38353e-10
0.006,5.68841e-10,5.94934e-10
0.007,9.27668e-12,4.78608e-10
0.008,2.0475e-10,4.99954e-10
0.009,1.24002e-10,2.4635e-10
0.01,2.52086e-10,6.38737e-10
0.011,1.2783e-10,7.3379e-11
0.012,1.19498e-10,1.60673e-10
0.013,1.63124e-10,4.45217e-10
0.014,1.08697e-10,2.2115e-10
0.015,4.67078e-13,1.41269e-10
0.016,1.21162e-10,1.94408e-10
0.017,7.55733e-11,3.80302e-10
